D+, 57.79, 27.07, 0.00, TPB1,27, B1,27
D-, 57.79, 28.50, 0.00, TPB1,27, B1,27
GND, 57.79, 25.64, 0.00, TPB1,27, B1,27
PB0, 57.79, 22.78, 0.00, TPB1,27, B1,27
PB1, 57.79, 21.35, 0.00, TPB1,27, B1,27
PB2, 57.79, 19.92, 0.00, TPB1,27, B1,27
PB3, 57.79, 18.49, 0.00, TPB1,27, B1,27
PB4, 74.61, 24.77, 0.00, TPB1,27, B1,27
PB5, 74.61, 26.19, 0.00, TPB1,27, B1,27
PB6, 74.61, 27.62, 0.00, TPB1,27, B1,27
PB7, 60.33, 16.19, 0.00, TPB1,27, B1,27
PC6, 74.61, 29.05, 0.00, TPB1,27, B1,27
PC7, 74.61, 30.48, 0.00, TPB1,27, B1,27
PD0, 67.47, 16.19, 0.00, TPB1,27, B1,27
PD1, 68.90, 16.19, 0.00, TPB1,27, B1,27
PD2, 70.33, 16.19, 0.00, TPB1,27, B1,27
PD3, 71.76, 16.19, 0.00, TPB1,27, B1,27
PD4, 74.61, 20.48, 0.00, TPB1,27, B1,27
PD5, 73.18, 16.19, 0.00, TPB1,27, B1,27
PD6, 74.61, 21.91, 0.00, TPB1,27, B1,27
PD7, 74.61, 23.34, 0.00, TPB1,27, B1,27
PE2, 74.61, 31.91, 0.00, TPB1,27, B1,27
PE6, 57.79, 29.92, 0.00, TPB1,27, B1,27
PF0, 63.18, 33.26, 0.00, TPB1,27, B1,27
PF1, 64.61, 33.26, 0.00, TPB1,27, B1,27
PF4, 66.04, 33.26, 0.00, TPB1,27, B1,27
PF5, 67.47, 33.26, 0.00, TPB1,27, B1,27
PF6, 68.90, 33.26, 0.00, TPB1,27, B1,27
PF7, 70.33, 33.26, 0.00, TPB1,27, B1,27
RAW, 61.75, 33.26, 0.00, TPB1,27, B1,27
RST, 61.75, 16.11, 0.00, TPB1,27, B1,27
VBUS, 57.79, 24.21, 0.00, TPB1,27, B1,27
VCC, 63.18, 16.19, 0.00, TPB1,27, B1,27
XTAL1, 66.04, 16.19, 0.00, TPB1,27, B1,27
XTAL2, 64.61, 16.19, 0.00, TPB1,27, B1,27
